Language_ID,Language_Name,ISO_Code,Family_ID,Genus_ID,Status,Macroarea,Latitude,Longitude,Countrycodes
astu1245,Asturian,ast,24,85,unknown,Eurasia,42.4181,-6.02227,ES
toca1235,Asuriní,asu,14,16,vulnerable,South America,-3.59359,-49.8991,BR
atay1247,Atayal,tay,12,86,unknown,Papunesia,24.5209,121.388,TW
aral1243,Aralle-Tabulahan,atq,12,87,unknown,Papunesia,-2.78397,119.319,ID
urip1239,Atchin,upv,12,25,unknown,Papunesia,-16.00951,167.34643,VU
athp1241,Athpare,aph,18,88,definitely endangered,Eurasia,26.8794,87.3296,NP
atik1240,Atikamekw,atj,11,13,vulnerable,North America,47.9555,-73.7989,CA
atak1252,Atakapa,aqp,52,89,extinct,North America,30.9121,-93.0827,US
kunz1244,Atacameño,kuz,53,90,extinct,South America,-23.0,-69.0,BO CL AR
paci1278,Alutiiq,ems,23,91,unknown,North America,60.4238,-148.043,US
atsu1245,Atsugewi,atw,17,19,extinct,North America,40.4271,-120.661,US
tuni1259,Arabic (Tunisian),aeb,2,4,unknown,Africa,33.7966,9.56156,TN
auuu1241,Au,avt,1,92,safe,Papunesia,-3.53277,142.105,PG
aulu1238,Aulua,aul,12,25,unknown,Papunesia,-16.3333333333,167.666666667,VU
aust1271,Auslan,asf,21,23,safe,Australia,-30.0,145.0,AU
awiy1238,Auyana,auy,25,28,safe,Papunesia,-6.54079,145.76,PG
avar1256,Avar,ava,26,74,unknown,Eurasia,41.7047,46.558,RU AZ
avik1243,Avikam,avi,4,5,safe,Africa,5.15838,-5.2529,CI
avok1242,Avokaya,avu,30,93,unknown,Africa,4.38639,29.9379,SD CD
avat1244,Avatime,avn,4,5,safe,Africa,6.8688,0.41314,GH
awap1236,Awa,awb,25,28,unknown,Papunesia,-6.65534,145.714,PG
awad1243,Awadhi,awa,24,84,unknown,Eurasia,27.5907,82.4663,NP IN
west2441,Arrernte (Western),are,8,9,vulnerable,Australia,-24.05052,133.24621,AU
aeky1238,Aekyom,awi,54,94,unknown,Papunesia,-5.75,141.416666667,PG
pong1250,Akwa,png,4,62,unknown,Africa,10.0823,6.3745,NG
awng1244,Awngi,awn,2,95,safe,Africa,10.9819,36.6916,ET
awac1239,Awa Pit,kwi,55,96,critically endangered,South America,1.21652,-78.3401,EC CO
awtu1239,Awtuw,kmn,3,97,safe,Papunesia,-3.53129,141.928,PG
awyi1241,Awyi,auw,41,61,vulnerable,Papunesia,-3.00564,140.604,ID
akhv1239,Akhvakh,akv,26,74,definitely endangered,Eurasia,42.4003,46.3037,RU
anyi1245,Anyi,any,4,5,unknown,Africa,6.31781,-3.30532,CI
cent2142,Aymara (Central),ayc,56,98,vulnerable,South America,-17.0,-68.5,PE CL BO
ainu1251,Aynu,aib,51,83,safe,Eurasia,39.2714,76.4209,CN
ayor1240,Ayoreo,ayo,57,99,definitely endangered,South America,-19.220055,-60.217495,PY
ayiw1239,Ayiwo,nfl,12,25,safe,Papunesia,-10.282595,166.328715,SB
nort2697,Azerbaijani,azb,51,83,unknown,Eurasia,40.9777,46.4737,AZ IR
sout2697,Azari (Iranian),azb,51,83,unknown,Eurasia,36.5137,48.4302,IR IQ
bara1377,Barai,bbb,25,100,unknown,Papunesia,-9.33333333333,148.083333333,PG
veng1238,Babungo,bav,4,31,safe,Africa,6.11403,10.4137,CM
wadj1254,Bachamal,wdj,58,101,safe,Australia,-12.8596,130.737,AU
bade1248,Bade,bde,2,67,unknown,Africa,12.789,10.6557,NG
bare1276,Baré,bae,13,15,critically endangered,South America,1.91649,-66.828,BR VR
bafu1246,Bafut,bfd,4,31,unknown,Africa,6.14153,10.1194,CM
bagi1246,Bagirmi,bmi,30,102,unknown,Africa,11.52392,14.769495,TD
xiri1243,Xiriana,xir,13,103,extinct,South America,2.69932,-62.5413,BR
cent2004,Bai,bca,18,104,unknown,Eurasia,26.1666,99.7052,CN
indo1317,Bajau (Sama),bdl,12,105,unknown,Papunesia,-3.68664,122.253,ID
baka1272,Baka (in Cameroon),bkc,4,106,safe,Africa,2.16013,13.7804,CM
bali1278,Balinese,ban,12,14,unknown,Papunesia,-8.35714,115.075,ID
bamb1269,Bambara,bam,59,107,unknown,Africa,12.0401,-9.98949,ML
bana1305,Bana,bcw,2,108,unknown,Africa,10.3535,13.6131,CM
bona1250,Bao'an,peh,51,109,unknown,Eurasia,35.6972,102.995,CN
baur1253,Baure,brg,13,110,critically endangered,South America,-13.1278,-64.1838,BO
bari1284,Bari,bfa,16,18,unknown,Africa,4.19522,31.0723,SD
basa1284,Basaá,bas,4,31,unknown,Africa,3.80765,10.4213,CM
bata1301,Batak,bya,12,30,definitely endangered,Papunesia,10.1115,119.025,PH
bauu1244,Bau,bbd,25,57,safe,Papunesia,-5.26465,145.611,PG
bawm1236,Bawm,bgr,18,33,definitely endangered,Eurasia,22.4405233333,92.92553,BD IN MM
sout2840,Bobo Madaré (Northern),bbo,59,107,unknown,Africa,11.5409,-4.26497,BF
dibo1245,Babole,bvx,4,31,unknown,Africa,1.07773,17.2305,CG
